#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
 405000      9.53e-02      9.23e-05      2.72e-02      5.34e-03    9.4e-06
 410000      1.46e-01      1.42e-03      4.18e-02      9.04e-03    8.9e-06
 415000      1.69e-01      1.63e-04      5.36e-02      5.90e-03    8.4e-06
 420000      9.93e-02      4.79e-04      3.22e-02      3.49e-03    7.9e-06
 425000      8.94e-02      5.03e-04      2.81e-02      5.13e-03    7.5e-06
 430000      1.08e-01      1.25e-04      3.71e-02      3.38e-03    7.1e-06
 435000      6.44e-02      4.17e-05      2.25e-02      2.43e-03    6.7e-06
 440000      6.77e-02      3.11e-04      2.33e-02      3.61e-03    6.3e-06
 445000      3.98e-02      8.59e-04      1.21e-02      3.22e-03    6.0e-06
 450000      1.22e-01      1.28e-03      4.44e-02      5.96e-03    5.6e-06
 455000      1.20e-01      1.23e-03      4.42e-02      6.50e-03    5.3e-06
 460000      1.18e-01      5.60e-04      4.51e-02      6.04e-03    5.0e-06
 465000      9.80e-02      2.37e-04      3.87e-02      4.68e-03    4.7e-06
 470000      9.02e-02      1.17e-03      3.25e-02      6.85e-03    4.5e-06
 475000      8.40e-02      1.89e-04      2.85e-02      7.68e-03    4.2e-06
 480000      6.02e-02      6.69e-04      2.42e-02      3.78e-03    4.0e-06
 485000      1.09e-01      2.15e-03      4.79e-02      3.26e-03    3.8e-06
 490000      8.04e-02      1.18e-05      3.30e-02      5.64e-03    3.5e-06
 495000      7.39e-02      1.24e-03      2.85e-02      6.09e-03    3.3e-06
 500000      8.45e-02      2.77e-04      3.65e-02      5.81e-03    3.2e-06
 505000      8.35e-02      2.33e-03      2.49e-02      9.11e-03    3.0e-06
 510000      8.39e-02      2.55e-04      3.51e-02      4.92e-03    2.8e-06
 515000      5.17e-02      4.99e-04      2.37e-02      3.52e-03    2.7e-06
 520000      7.36e-02      5.76e-04      2.99e-02      6.86e-03    2.5e-06
 525000      1.10e-01      2.16e-03      4.32e-02      1.06e-02    2.4e-06
 530000      9.50e-02      8.32e-04      3.76e-02      9.56e-03    2.2e-06
 535000      6.31e-02      1.17e-03      2.82e-02      5.37e-03    2.1e-06
 540000      6.74e-02      1.07e-03      3.58e-02      3.54e-03    2.0e-06
 545000      5.69e-02      2.61e-03      1.51e-02      6.35e-03    1.9e-06
 550000      3.99e-02      1.06e-03      1.36e-02      4.50e-03    1.8e-06
 555000      5.97e-02      1.37e-03      3.28e-02      3.27e-03    1.7e-06
 560000      6.12e-02      1.49e-03      3.38e-02      3.47e-03    1.6e-06
 565000      5.59e-02      3.37e-05      3.03e-02      4.19e-03    1.5e-06
 570000      6.58e-02      8.13e-04      3.57e-02      5.01e-03    1.4e-06
 575000      7.44e-02      1.43e-03      3.43e-02      7.36e-03    1.3e-06
 580000      7.74e-02      8.63e-04      3.79e-02      7.48e-03    1.3e-06
 585000      3.28e-02      5.27e-04      1.66e-02      3.05e-03    1.2e-06
 590000      7.12e-02      5.63e-04      3.34e-02      7.48e-03    1.1e-06
 595000      4.63e-02      1.28e-03      2.87e-02      2.43e-03    1.1e-06
 600000      6.77e-02      2.80e-04      3.85e-02      5.81e-03    1.0e-06
 605000      8.71e-02      2.74e-04      5.00e-02      7.51e-03    9.4e-07
 610000      5.83e-02      6.52e-04      3.89e-02      3.20e-03    8.9e-07
 615000      6.89e-02      7.45e-04      4.29e-02      5.20e-03    8.4e-07
 620000      6.63e-02      7.37e-04      3.81e-02      6.02e-03    7.9e-07
 625000      6.96e-02      5.52e-05      4.25e-02      5.94e-03    7.5e-07
 630000      5.96e-02      7.38e-04      3.46e-02      5.52e-03    7.1e-07
 635000      5.11e-02      2.20e-03      3.34e-02      2.42e-03    6.7e-07
 640000      3.14e-02      5.84e-04      1.49e-02      3.50e-03    6.3e-07
 645000      5.73e-02      8.67e-04      3.46e-02      5.21e-03    6.0e-07
 650000      6.63e-02      8.43e-04      3.38e-02      7.28e-03    5.6e-07
 655000      6.54e-02      9.08e-04      4.10e-02      5.81e-03    5.3e-07
 660000      5.91e-02      2.56e-03      3.48e-02      4.66e-03    5.0e-07
 665000      7.92e-02      9.25e-04      4.59e-02      8.02e-03    4.7e-07
 670000      5.64e-02      2.12e-04      4.04e-02      4.13e-03    4.5e-07
 675000      4.27e-02      9.74e-04      2.78e-02      3.62e-03    4.2e-07
 680000      6.59e-02      3.09e-04      3.12e-02      7.87e-03    4.0e-07
 685000      4.00e-02      4.30e-04      2.86e-02      3.10e-03    3.8e-07
 690000      6.06e-02      2.70e-04      3.66e-02      6.21e-03    3.5e-07
 695000      1.50e-02      3.49e-05      1.16e-02      9.61e-04    3.3e-07
 700000      7.22e-02      6.53e-04      4.90e-02      6.46e-03    3.2e-07
 705000      5.20e-02      9.46e-04      3.49e-02      4.64e-03    3.0e-07
 710000      4.76e-02      4.88e-04      3.25e-02      4.31e-03    2.8e-07
 715000      4.75e-02      5.74e-04      4.03e-02      1.84e-03    2.7e-07
 720000      5.90e-02      2.79e-04      3.47e-02      6.41e-03    2.5e-07
 725000      4.05e-02      6.93e-04      3.08e-02      2.97e-03    2.4e-07
 730000      7.70e-02      6.67e-04      5.71e-02      6.30e-03    2.2e-07
 735000      6.34e-02      3.71e-04      4.21e-02      6.23e-03    2.1e-07
 740000      5.40e-02      3.89e-04      4.01e-02      4.51e-03    2.0e-07
 745000      4.37e-02      4.69e-04      2.27e-02      5.17e-03    1.9e-07
 750000      7.93e-02      1.88e-03      5.51e-02      7.02e-03    1.8e-07
 755000      5.40e-02      1.43e-04      3.43e-02      5.68e-03    1.7e-07
 760000      5.40e-02      7.26e-04      3.72e-02      5.13e-03    1.6e-07
 765000      8.59e-02      5.88e-04      5.39e-02      9.15e-03    1.5e-07
 770000      6.32e-02      9.85e-04      5.58e-02      2.69e-03    1.4e-07
 775000      3.87e-02      2.86e-03      1.25e-02      3.34e-03    1.3e-07
 780000      3.33e-02      4.63e-04      2.42e-02      3.00e-03    1.3e-07
 785000      6.91e-02      8.42e-04      3.16e-02      8.65e-03    1.2e-07
 790000      5.27e-02      5.95e-04      4.15e-02      4.16e-03    1.1e-07
 795000      5.17e-02      1.27e-03      3.12e-02      5.49e-03    1.1e-07
 800000      4.38e-02      8.57e-04      2.13e-02      5.30e-03    1.0e-07
 805000      7.28e-02      8.80e-05      4.41e-02      8.12e-03    9.4e-08
 810000      4.81e-02      5.94e-04      3.57e-02      4.31e-03    8.9e-08
 815000      4.23e-02      1.55e-03      2.91e-02      3.64e-03    8.4e-08
 820000      7.16e-02      2.26e-03      4.95e-02      6.44e-03    7.9e-08
 825000      5.94e-02      7.89e-04      3.56e-02      6.62e-03    7.5e-08
 830000      6.74e-02      3.48e-04      5.58e-02      5.00e-03    7.1e-08
 835000      4.92e-02      8.63e-04      3.81e-02      4.08e-03    6.7e-08
 840000      4.62e-02      3.31e-04      3.36e-02      3.08e-03    6.3e-08
 845000      5.12e-02      2.63e-03      1.70e-02      5.87e-03    6.0e-08
 850000      7.47e-02      1.62e-04      4.57e-02      8.39e-03    5.6e-08
 855000      4.47e-02      6.81e-04      3.44e-02      3.84e-03    5.3e-08
 860000      5.20e-02      9.01e-04      3.82e-02      4.79e-03    5.0e-08
 865000      5.02e-02      7.00e-04      3.48e-02      5.01e-03    4.7e-08
 870000      5.55e-02      7.94e-04      3.65e-02      5.83e-03    4.5e-08
 875000      5.21e-02      2.55e-04      4.36e-02      3.89e-03    4.2e-08
 880000      5.39e-02      9.77e-04      4.35e-02      4.18e-03    4.0e-08
 885000      5.92e-02      3.40e-04      4.60e-02      3.67e-03    3.8e-08
 890000      7.70e-02      2.93e-03      5.27e-02      6.81e-03    3.5e-08
 895000      4.27e-02      1.05e-03      3.19e-02      3.73e-03    3.3e-08
 900000      7.09e-02      2.61e-04      4.28e-02      5.71e-03    3.2e-08
 905000      4.43e-02      1.54e-04      3.27e-02      4.25e-03    3.0e-08
 910000      5.16e-02      6.01e-04      3.88e-02      4.74e-03    2.8e-08
 915000      5.17e-02      1.95e-03      4.17e-02      3.28e-03    2.7e-08
 920000      7.72e-02      5.48e-04      4.48e-02      8.98e-03    2.5e-08
 925000      6.29e-02      4.34e-04      5.37e-02      4.54e-03    2.4e-08
 930000      5.26e-02      6.47e-04      4.08e-02      4.61e-03    2.2e-08
 935000      6.30e-02      4.95e-04      3.70e-02      7.29e-03    2.1e-08
 940000      4.43e-02      5.12e-04      4.07e-02      2.24e-03    2.0e-08
 945000      5.96e-02      6.57e-04      4.21e-02      5.95e-03    1.9e-08
 950000      4.81e-02      8.50e-04      3.99e-02      3.59e-03    1.8e-08
 955000      5.81e-02      7.86e-04      3.43e-02      6.64e-03    1.7e-08
 960000      4.99e-02      6.38e-04      4.04e-02      4.05e-03    1.6e-08
 965000      3.75e-02      1.07e-03      2.91e-02      3.01e-03    1.5e-08
 970000      4.14e-02      2.87e-04      2.97e-02      4.12e-03    1.4e-08
 975000      7.66e-02      2.62e-03      6.11e-02      5.43e-03    1.3e-08
 980000      3.47e-02      6.73e-04      2.75e-02      2.87e-03    1.3e-08
 985000      6.44e-02      2.23e-04      3.95e-02      5.17e-03    1.2e-08
 990000      4.82e-02      1.29e-03      2.98e-02      5.14e-03    1.1e-08
 995000      4.21e-02      3.93e-04      2.69e-02      4.62e-03    1.1e-08
1000000      5.51e-02      5.88e-04      4.96e-02      3.29e-03    1.0e-08
